Rank,Player,,,
240,,0,1,300
,Lee Kangin,,,
,,,,
,KOR,,,
,MF,,,
241,,0,1,301
,Vladimir Coufal,,,
,,,,
,CZE,,,
,DF,,,
242,,0,1,302
,David Alaba,,,
,,,,
,AUT,,,
,DF,,,
243,,0,1,305
,Ibrahim Sangare,,,
,,,,
,CIV,,,
,MF,,,
244,,0,1,309
,Noor Alrawabdeh,,,
,,,,
,JOR,,,
,MF,,,
245,,0,1,324
,Nico Gonzalez,,,
,,,,
,ARG,,,
,MF,,,
246,,0,1,327
,Rayan,,,
,,,,
,BRA,,,
,FW,,,
247,,0,1,340
,Arthur Masuaku,,,
,,,,
,COD,,,
,DF,,,
248,,0,1,342
,Joao Cancelo,,,
,,,,
,POR,,,
,DF,,,
249,,0,1,350
,Facundo Medina,,,
,,,,
,ARG,,,
,DF,,,
250,,0,1,360
,Luka Modric,,,
,,,,
,CRO,,,
,MF,,,
251,,0,1,361
,Yan Diomande,,,
,,,,
,CIV,,,
,FW,,,
252,,0,1,365
,Luis Suarez,,,
,,,,
,COL,,,
,FW,,,
253,,0,1,366
,Ryan Mendes,,,
,,,,
,CPV,,,
,FW,,,
254,,0,1,373
,Sead Kolasinac,,,
,,,,
,BIH,,,
,DF,,,
255,,0,1,381
,Pedro Neto,,,
,,,,
,POR,,,
,FW,,,
256,,0,1,388
,Jorge Sanchez,,,
,,,,
,MEX,,,
,DF,,,
257,,0,1,390
,Chadi Riad,,,
,,,,
,MAR,,,
,DF,,,
258,,0,1,391
,Erik Lira,,,
,,,,
,MEX,,,
,MF,,,
259,,0,1,407
,Aurelien Tchouameni,,,
,,,,
,FRA,,,
,MF,,,
260,,0,1,407
,Pedro Vite,,,
,,,,
,ECU,,,
,MF,,,
261,,0,1,409
,Chancel Mbemba,,,
,,,,
,COD,,,
,DF,,,
262,,0,1,411
,Morgan Rogers,,,
,,,,
,ENG,,,
,MF,,,
263,,0,1,412
,Konrad Laimer,,,
,,,,
,AUT,,,
,MF,,,
264,,0,1,413
,Josip Stanisic,,,
,,,,
,CRO,,,
,DF,,,
265,,0,1,421
,Sadio Mane,,,
,,,,
,SEN,,,
,FW,,,
266,,0,1,459
,Moussa Niakhate,,,
,,,,
,SEN,,,
,DF,,,
267,,0,1,471
,Bruno Fernandes,,,
,,,,
,POR,,,
,MF,,,
268,,0,1,477
,David Moller Wolfe,,,
,,,,
,NOR,,,
,DF,,,
269,,0,1,495
,Marawan Attia,,,
,,,,
,EGY,,,
,MF,,,
270,,0,1,520
,Gustavo Puerta,,,
,,,,
,COL,,,
,DF,,,
271,,0,1,520
,Gabriel Magalhaes,,,
,,,,
,BRA,,,
,DF,,,
